year,month,day,statefips,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,21,1,0,0,.,0,0,.,.,.,.,.,.,.,.,.000975,.000437,.00516,-.00772,.000361,.00254,.00205,.00168
2020,1,21,10,0,0,.,0,0,.,.,.,.,.,.,.,.,.000698,.002,.000501,-.000202,-.00114,-.000217,-.00342,.00317
2020,1,21,11,0,0,.,0,0,.,.,.,.,.,.,.,.,.00253,.00158,.00419,.00106,.00144,.00173,.00703,-.00141
2020,1,21,12,0,0,.,0,0,.,.,.,.,.,.,.,.,.00326,.00517,.00406,-.000981,.00448,.00383,.00406,.0007
2020,1,21,13,0,0,.,0,0,.,.,.,.,.,.,.,.,.00154,.0033,.00212,-.00161,.00135,.000201,.00337,.000933
2020,1,21,15,0,0,.,0,0,.,.,.,.,.,.,.,.,.0116,.00669,.0114,.,.0069,.0179,-.000506,.000307
2020,1,21,16,0,0,.,0,0,.,.,.,.,.,.,.,.,.00291,.00337,.00304,.00179,.00229,-.00267,.0102,.0128
2020,1,21,17,0,0,.,0,0,.,.,.,.,.,.,.,.,.00186,.00164,.00277,.000562,.00256,.00448,.00328,-.00502
2020,1,21,18,0,0,.,0,0,.,.,.,.,.,.,.,.,.00383,.00252,.00618,-.000146,.00243,.00325,.00653,.00304
2020,1,21,19,0,0,.,0,0,.,.,.,.,.,.,.,.,.00388,.00546,.0042,.00085,.00459,.012,-.00211,.000921
2020,1,21,2,0,0,.,0,0,.,.,.,.,.,.,.,.,-.00353,-.00107,-.00738,.00268,-.00513,-.0503,-.00393,.00289
2020,1,21,20,0,0,.,0,0,.,.,.,.,.,.,.,.,.00222,.00887,-.000916,.00198,.00177,.00746,.00265,.00112
2020,1,21,21,0,0,.,0,0,.,.,.,.,.,.,.,.,.00141,.00117,.00124,.00231,-.00146,.00264,.00159,.00698
2020,1,21,22,0,0,.,0,0,.,.,.,.,.,.,.,.,.00203,.00275,.00239,-.000175,-.0016,-.00125,.00485,.00467
2020,1,21,23,0,0,.,0,0,.,.,.,.,.,.,.,.,.00209,.00765,.00228,-.00634,.0014,.00211,.00247,.00139
2020,1,21,24,0,0,.,0,0,.,.,.,.,.,.,.,.,.00159,.00574,.000369,.000571,-.00098,.00352,.00192,-.0000288
2020,1,21,25,0,0,.,0,0,.,.,.,.,.,.,.,.,.00248,-.0000851,.00413,.00104,.00178,.00237,.00285,.00426
2020,1,21,26,0,0,.,0,0,.,.,.,.,.,.,.,.,.00395,.00872,.0028,.000626,.00205,.00397,.00519,.0034
2020,1,21,27,0,0,.,0,0,.,.,.,.,.,.,.,.,.00249,.00452,.00438,-.00233,.00205,.00254,.00186,.00835
2020,1,21,28,0,0,.,0,0,.,.,.,.,.,.,.,.,.00174,.0024,.00282,-.00308,-.000698,.00928,.000599,-.00739
2020,1,21,29,0,0,.,0,0,.,.,.,.,.,.,.,.,.00147,.00298,.00231,-.00272,.00106,.00295,-.00077,-.000678
2020,1,21,30,0,0,.,0,0,.,.,.,.,.,.,.,.,.00514,.00155,.007,.00502,.00518,.0127,-.00247,.00308
